,0,1,2,3,4,5,6,7,8,val
119,X,X,O, ,O,X,O,O,X,-0.9998995475742793
120,X,X, ,O,O,X,O,O,X,0.8548927307128906
121,X,X,X,O,O,X,O,O,X,0.8998870849609375
122,X, , , , ,X,O,O,X,0.28802503890404474
123, , , , , ,X,O,O,X,0.8702894208525663
124,O, ,X,O, ,X, , , ,0.919598181195557
125, ,O,X,O, ,X, , , ,0.8742091852302465
126, , ,X,O,O,X, , , ,0.9475378903410533
127, , ,X,O, ,X,O, , ,0.7069622651337646
128, , ,X,O, ,X, ,O, ,0.8589841208457947
129, , ,X,O, ,X, , ,O,-0.008123970585262812
130,X, ,X,O, ,X, , ,O,0.3525390625
131, ,X,X,O, ,X, , ,O,-0.4475128121301531
132, , ,X,O,X,X, , ,O,-0.588267420221901
133, , ,X,O, ,X,X, ,O,-0.03404177025498544
134, , ,X,O, ,X, ,X,O,-0.3180833073556423
135,X,X,X,O, ,X, ,O,O,0.0
136, ,X,X,O,X,X, ,O,O,-0.9220703664887696
137, ,X,X,O, ,X,X,O,O,0.8347360706329345
138,O,X,X,O,X,X, ,O,O,0.2375
139, ,X,X,O,X,X,O,O,O,-0.999247456541835
140,O,X,X,O,X,X,X,O,O,0.9999996814440681
141, ,X,X,O, ,X, ,O,O,0.45291078948974606
142, , ,X,O, ,X, , , ,-0.003986536533178368
143,O,X, , , ,X, , , ,-0.7643587937066629
144,O, ,X, , ,X, , , ,0.8188548029639601
145,O, , ,X, ,X, , , ,-0.6076272692075813
146,O, , , ,X,X, , , ,-0.16075340274369007
147,O, , , , ,X,X, , ,-0.10921076485712122
148,O, , , , ,X, ,X, ,-0.19199941358785408
149,O, , , , ,X, , ,X,-0.5712214395561149
150,O,O, , , ,X, , ,X,0.2375
151,O, ,O, , ,X, , ,X,-0.8678616773096333
152,O, , ,O, ,X, , ,X,0.7201731683388353
153,O, , , ,O,X, , ,X,0.9498946568723738
154,O, , , , ,X,O, ,X,0.8763513083457946
155,O, , , , ,X, ,O,X,0.878669548034668
156,O,X, , , ,X, ,O,X,1.0535246555231221e-05
157,O, ,X, , ,X, ,O,X,0.9998660634323725
158,O, , ,X, ,X, ,O,X,0.7454255472123623
159,O, , , ,X,X, ,O,X,0.4234427928924561
160,O, , , , ,X,X,O,X,-0.03384375
161,X, ,O, , ,X, ,O,X,-0.24818749999999998
162, ,X,O, , ,X, ,O,X,-0.044705370068550104
163, , ,O,X, ,X, ,O,X,-0.33861376953124994
164, , ,O, ,X,X, ,O,X,0.9024745447670056
165, , ,O, , ,X,X,O,X,-0.09381219538897273
166,O, ,O, , ,X,X,O,X,-0.1804559326171875
167, ,O,O, , ,X,X,O,X,0.21434374999999997
168, , ,O,O, ,X,X,O,X,0.09042626953124999
169, , ,O, ,O,X,X,O,X,-0.22575234446331133
170,O,X,O, , ,X,X,O,X,0.0
171,O, ,O,X, ,X,X,O,X,-0.2375
172,O, ,O, ,X,X,X,O,X,-0.724560546875
173,O,O,O, ,X,X,X,O,X,-0.9577648639678955
174,O, ,O,O,X,X,X,O,X,0.0
175,O,X,O,O,X,X,X,O,X,0.0
176, , ,O, , ,X, ,O,X,0.848259346294385
177, , , , , ,X, ,O,X,0.8121330278073988
178,X, ,O, , ,X, , , ,-0.14561029749636223
179, ,X,O, , ,X, , , ,-0.20658226826026174
180, , ,O,X, ,X, , , ,-0.7393631832225532
181, , ,O, ,X,X, , , ,1.2847157241360302e-05
182, , ,O, , ,X,X, , ,-0.09006929674388511
183, , ,O, , ,X, ,X, ,-0.7873685212246667
184, , ,O, , ,X, , ,X,-0.6621966258089498
185,X,X,O,O, ,X, , ,O,0.0
186,X,X,O, ,O,X, , ,O,-0.04417591037275533
187,X,X,O, , ,X,O, ,O,0.21434374999999997
188,X,X,O, , ,X, ,O,O,-0.15279263305664065
189,X,X,O,O, ,X,O,X,O,0.9274305991828442
190,X,X,O, ,O,X,O,X,O,-0.999995757378135
191,X,X,O,O,X,X,O,X,O,0.9999999999999998
192,X,X,O, , ,X,O,X,O,-0.5780249023437499
193,X,X,O, , ,X, , ,O,-0.03536671560312466
194,X, ,O, , ,X, , ,O,0.5029297289478748
195, ,O,O, , ,X, , ,X,-0.4388577124229597
196, , ,O,O, ,X, , ,X,-0.04915053568695077
197, , ,O, ,O,X, , ,X,-0.20374148996495434
198, , ,O, , ,X,O, ,X,0.5405773662681541
199,X, ,O, ,O,X, , ,X,-0.8479213143912788
200, ,X,O, ,O,X, , ,X,-0.8113866862619811
201, , ,O,X,O,X, , ,X,-0.9477189474563081
202, , ,O, ,O,X,X, ,X,-0.21446472627888075
203, , ,O, ,O,X, ,X,X,-0.9134039605652862
204,O, ,O,X,O,X, , ,X,-0.7748799972219879
205, ,O,O,X,O,X, , ,X,-0.8643827897310257
206, , ,O,X,O,X,O, ,X,-0.9999997610830511
207, , ,O,X,O,X, ,O,X,-0.616943359375
208,X,O,O, , ,X, , , ,0.6775962728881835
209,X, ,O,O, ,X, , , ,6.835757191668144e-09
210,X, ,O, ,O,X, , , ,0.21423481092944918
211,X, ,O, , ,X,O, , ,0.2546147576048038
212,X, ,O, , ,X, ,O, ,0.41092414598018306
213,X,X,O,O, ,X, , , ,-0.028611436843872066
214,X, ,O,O,X,X, , , ,7.195533885966467e-09
215,X, ,O,O, ,X,X, , ,6.567674683465322e-19
216,X, ,O,O, ,X, ,X, ,0.0
217,X, ,O,O, ,X, , ,X,-0.15078167781886187
218,X,X,O,O,O,X,X,O, ,0.0
219,X,X,O,O,O,X,X, ,O,0.0
220,X,X,O,O,O,X,X,O,X,0.0
221,X,X,O,O,O,X,X, , ,0.0
222,X,X,O,O,O,X, , , ,-0.015194450841815976
223,O, , , , , ,X, , ,0.6852853694881772
224, ,O, , , , ,X, , ,0.6097827856704849
225, , ,O, , , ,X, , ,0.7944939493839979
226, , , ,O, , ,X, , ,0.7748407707185115
227, , , , ,O, ,X, , ,-0.11453984949459188
228, , , , , ,O,X, , ,0.7734233496043896
229, , , , , , ,X,O, ,0.6942217674955373
230, , , , , , ,X, ,O,0.596521287716065
231,X, , , , , ,X, ,O,0.4897379114584156
232, , ,X, , , ,X, ,O,0.1905627730566526
